sale_line_id,date,sku,warehouse_id,customer_anon_id,qty,unit_price,operation_type
SALE-001,2026-08-02,00123,WH-1,ANON-001,12.75,150.00,sale
SALE-002,2026-08-03,SW-002,WH-1,ANON-002,2,150.00,sale
SALE-003,2026-08-04,BR-003,WH-1,ANON-003,3,150.00,sale
SALE-004,2026-08-05,00123,WH-1,ANON-004,12.75,150.00,sale
SALE-005,2026-08-06,SW-002,WH-1,ANON-005,1,150.00,sale
SALE-006,2026-08-07,BR-003,WH-1,ANON-006,2,150.00,sale
SALE-007,2026-08-08,00123,WH-1,ANON-007,12.75,150.00,sale
SALE-008,2026-08-09,SW-002,WH-1,ANON-008,4,150.00,sale
SALE-009,2026-08-10,BR-003,WH-1,ANON-009,1,150.00,sale
SALE-010,2026-08-11,SW-002,WH-1,ANON-010,2,150.00,sale
SALE-011,2026-08-12,SW-002,WH-1,ANON-001,3,150.00,sale
SALE-012,2026-08-13,BR-003,WH-1,ANON-002,4,150.00,sale
SALE-013,2026-08-14,00123,WH-1,ANON-003,12.75,150.00,sale
SALE-014,2026-08-15,SW-002,WH-1,ANON-004,2,150.00,sale
SALE-015,2026-08-16,BR-003,WH-1,ANON-005,3,150.00,sale
SALE-016,2026-08-17,00123,WH-1,ANON-006,12.75,150.00,sale
SALE-017,2026-08-18,SW-002,WH-1,ANON-007,1,150.00,sale
SALE-018,2026-08-19,BR-003,WH-1,ANON-008,2,150.00,sale
SALE-019,2026-08-20,00123,WH-1,ANON-009,12.75,150.00,sale
SALE-020,2026-08-21,SW-002,WH-1,ANON-010,4,150.00,sale
SALE-021,2026-08-22,BR-003,WH-1,ANON-001,1,150.00,sale
SALE-022,2026-08-23,00123,WH-1,ANON-002,12.75,150.00,sale
SALE-023,2026-08-24,SW-002,WH-1,ANON-003,3,150.00,sale
SALE-024,2026-08-25,BR-003,WH-1,ANON-004,4,150.00,sale
SALE-025,2026-08-26,00123,WH-1,ANON-005,12.75,150.00,sale
SALE-026,2026-08-27,SW-002,WH-1,ANON-006,2,150.00,sale
SALE-027,2026-08-28,BR-003,WH-1,ANON-007,3,150.00,sale
SALE-028,2026-08-29,00123,WH-1,ANON-008,12.75,150.00,sale
SALE-029,2026-08-30,SW-002,WH-1,ANON-009,1,150.00,sale
SALE-030,2026-08-31,BR-003,WH-1,ANON-010,2,150.00,sale
